vapor,endmember,ci,di,ei,fi,gi,liq_oxide1,liq_oxide2
O(g),None,0,0.5,1,0,0,None,None
Si(g),SiO2,1,-1,0,0,0,None,None
Si2(g),SiO2,2,-2,0,0,0,None,None
Si3(g),SiO2,3,-3,0,0,0,None,None
SiO(g),SiO2,1,-0.5,0,0,0,None,None
SiO2(g),SiO2,1,0,0,0,0,None,None
SiH(g),SiO2,1,-1,0.5,0,0,None,None
Al(g),Al2O3,0.5,-0.75,0,0,0,None,None
Al2(g),Al2O3,1,-1.5,0,0,0,None,None
AlO(g),Al2O3,0.5,-0.25,0,0,0,None,None
Al2O(g),Al2O3,1,-1,0,0,0,None,None
AlO2(g),Al2O3,0.5,0.25,0,0,0,None,None
Al2O2(g),Al2O3,1,-0.5,0,0,0,None,None
AlH(g),Al2O3,0.5,-0.75,0.5,0,0,None,None
Ti(g),TiO2,1,-1,0,0,0,None,None
TiO(g),TiO2,1,-0.5,0,0,0,None,None
TiO2(g),TiO2,1,0,0,0,0,None,None
Fe(g),Fe2O3,0.5,-0.75,0,0,0,None,None
FeO(g),Fe2O3,0.5,-0.25,0,0,0,None,None
FeO2H2(g),Fe2O3,0.5,-0.25,1,0,0,None,None
Fe(g),Fe2SiO4,0.5,-0.5,0,-0.5,0,SiO2(l),None
FeO(g),Fe2SiO4,0.5,0,0,-0.5,0,SiO2(l),None
FeO2H2(g),Fe2SiO4,0.5,1,1,-0.5,0,SiO2(l),None
Mg(g),Mg2SiO4,0.5,-0.5,0,-0.5,0,SiO2(l),None
Mg2(g),Mg2SiO4,1,-1,0,-1,0,SiO2(l),None
MgO(g),Mg2SiO4,0.5,0,0,-0.5,0,SiO2(l),None
MgH(g),Mg2SiO4,0.5,-0.5,0.5,-0.5,0,SiO2(l),None
Ca(g),CaSiO3,1,-0.5,0,-1,0,SiO2(l),None
Ca2(g),CaSiO3,2,-1,0,-2,0,SiO2(l),None
CaO(g),CaSiO3,1,0,0,-1,0,SiO2(l),None
Na(g),Na2SiO3,0.5,-0.25,0,-0.5,0,SiO2(l),None
Na2(g),Na2SiO3,1,-0.5,0,-1,0,SiO2(l),None
NaO(g),Na2SiO3,0.5,0.25,0,-0.5,0,SiO2(l),None
NaH(g),Na2SiO3,0.5,-0.25,0.5,-0.5,0,SiO2(l),None
K(g),KAlSiO4,1,-0.25,0,-0.5,-1,Al2O3(l),SiO2(l)
K2(g),KAlSiO4,2,-0.5,0,-1,-2,Al2O3(l),SiO2(l)
KO(g),KAlSiO4,1,0.25,0,-0.5,-1,Al2O3(l),SiO2(l)
KH(g),KAlSiO4,1,-0.25,0.5,-0.5,-1,Al2O3(l),SiO2(l)
