T,Na(g),Na2(g),NaO(g),NaO2(l)
298.15,-13.46,-17.446,-10.746,66.415
300,-13.344,-17.297,-10.655,65.963
400,-8.717,-11.407,-7.057,47.712
500,-6.02,-8.041,-4.976,36.654
600,-4.239,-5.838,-3.605,29.29
700,-2.979,-4.29,-2.637,24.042
800,-2.041,-3.149,-1.919,20.118
900,-1.318,-2.275,-1.366,17.078
1000,-0.744,-1.587,-0.928,14.657
1100,-0.278,-1.033,-0.574,12.691
1200,0,-0.791,-0.389,10.85
1300,0,-1.059,-0.468,8.857
1400,0,-1.289,-0.536,7.174
1500,0,-1.489,-0.595,5.839
1600,0,-1.664,-0.646,4.686
1700,0,-1.819,-0.692,3.677
1800,0,-1.957,-0.733,2.788
1900,0,-2.08,-0.769,1.999
2000,0,-2.192,-0.802,1.295
2100,0,,-0.832,0.664
2200,0,,-0.859,0.095
2300,0,,,-0.028
2400,0,,,
2500,0,,,
2600,0,,,
2700,0,,,
2800,0,,,
2900,0,,,
3000,0,,,
3100,0,,,
3200,0,,,
3300,0,,,
3400,0,,,
3500,0,,,
3600,0,,,
3700,0,,,
3800,0,,,
3900,0,,,
4000,0,,,
