species,ml_value
C,0
H,0
He,0
N,0
O,0.5
P,0
S,0
V,0
Cl,0
F,0
O2,1
O3,1.5
CH,0
HCN,0
HNCO,0.5
HCO,0.5
CH2,0
H2CO,0.5
CH3,0
CH4,0
CN,0
NCO,0.5
CO,0.5
CO2,1
C2,0
C2H,0
C2H2,0
C2H3,0
C2H4,0
C2H5,0
C2H6,0
C2H40,0
CH2OH,0.5
CH3O,0.5
H2CCO,0.5
HCCO,0.5
C2N,0
C2N2,0
CCO,0.5
C3,0
C3O2,1
C4,0
C4N2,0
NH,0
HNO,0.5
HNO2,1
HNO3,1
OH,0.5
HO2,1
H2,0
NH2,0
N2H2,0
H2O,0.5
NH3,0
N2H4,0
NO,0.5
NO2,1
NO3,1.5
N2,0
N2O,0.5
N2O3,1.5
N2O4,2
N2O5,2.5
N2H,0
N2H3,0
CH3NH2,0
CH3NH,0
CH2NH,0
CH2NH2,0
H2CN,0
C3H2,0
C3H4,0
C3H5,0
C3H7,0
C3H8,0
C4H,0
C4H2,0
C4H3,0
C4H4,0
C4H5,0
C4H6,0
C4H8,0
C4H9,0
C4H10,0
CH2CN,0
CH3CN,0
CH3NO,0.5
C3H3,0
C3H6,0
C2H3O,0.5
CH3CHO,0.5
C2H4OH,0.5
CH2CO,0.5
CH2CHO,0.5
H2O2,1
HC2N,0
HC3N,0
C2H2CN,0
C2H3CN,0
H2NN,0
CH3O2,1
CH3OOH,1
C6H6,0
C6H5,0
CH3C2H,0
VO,0.5
VC2,0
VN,0
Cl2,0
HCl,0
HOCl,0.5
CCl,0
CHCl,0
CH2Cl,0
CH3Cl,0
HF,0
PH,0
PH2,0
PH3,0
S2,0
HS,0
H2S,0
SO,0.5
SO2,1
COS,0.5
CS,0
HCS,0
HS2,0
S2O,0.5
SO3,1.5
HSO,0.5
HSO2,1
HSO3,1.5
H2SO4,2
CS2,0
NS,0
S3,0
S4,0
S8,0
CH3S,0
CH3SH,0
PO,0.5
PS,0
Si,-1
Ti,-1
K,-0.25
Na,-0.5
Mg,-0.5
Ca,-0.5
Fe,-0.75
Al,-0.75
TiO,-0.5
TiO2,0
MgO,0
Na2,-0.5
NaO,0.25
Na2O,0
Si2,-2
SiO,-0.5
SiO2,0
KO,0.25
FeO,0
FeO2,0.5
K2,-0.5
K2O,0
CaO,0
AlO,-0.25
AlO2,0.25
Al2O,-1
Al2O2,-0.5
TiH,-0.5
TiC2,-0.5
TiN,-0.5
TiC,-0.5
KH,-0.25
MgH,-0.5
SiH,-1
SiH2,-1
FeO2H2,0.5
NaH,-0.5
AlH,-0.75
CaH,-0.5
