Na,,O2,,SiO,,K,,O,,SiO2,,Mg,,MgO,,KO,,CrO,,Fe,,FeO,,NaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1510.37768617446,-0.120708766933325,1510.37768617446,-0.702466636779682,1623.97127808411,-3.95402707085232,1512.06055420275,-1.4223478793127,1512.06055420275,-2.40642531499436,1845.60499741004,-3.96871946949269,1686.14390246264,-3.96536695670852,2131.35598861386,-3.96586944106024,2231.48663629718,-3.98462334716116,1850.31702788926,-3.96411823557335,1510.16732767093,-3.4086791975037,1508.2741011391,-3.75571765446214,1627.67358774635,-3.9719541092001
1528.88923448566,-0.120742858182517,1528.88923448566,-0.702500728028874,1640.79995836702,-3.86679438242009,1530.57210251395,-1.41978483721437,1530.57210251395,-2.37151615756772,1872.19431225704,-3.88150475644639,1701.98423168132,-3.9036008446499,2147.94425917845,-3.91258455292721,2253.4574133332,-3.95371463660594,1864.62140612973,-3.90635836182885,1524.68206441494,-3.35384148617573,1527.95430780328,-3.6834309484673,1647.36314367735,-3.91978798960711
1547.40078279687,-0.120068640336928,1547.40078279687,-0.70347923140444,1657.62863864993,-3.78034083399211,1549.08365082516,-1.418402310274,1549.08365082516,-2.33731530923586,1886.85930507501,-3.82973750446894,1717.16009515073,-3.84180774368567,2164.84506237686,-3.85529323462453,2269.91212294316,-3.92993788425288,1878.9257843702,-3.84307957972086,1542.68875231765,-3.28927095564381,1549.08365082516,-3.6084940313352,1669.87617818916,-3.85712310825161
1565.91233110807,-0.120811040680901,1565.91233110807,-0.705166043874786,1674.45731893284,-3.69674413224642,1567.59519913636,-1.41560316514407,1567.59519913636,-2.30382276999877,1902.06521975921,-3.77689529342038,1732.03544647223,-3.78604314884883,2183.52489749089,-3.7978660604801,2287.86271524493,-3.9047210348885,1894.28195512836,-3.78239986796319,1559.55482966786,-3.2338965051458,1566.63356026305,-3.5493994066985,1684.8350051073,-3.81848222689483
1584.42387941927,-0.120845131930092,1584.42387941927,-0.705200135123978,1691.28599921575,-3.61314743050072,1586.10674744756,-1.4139845351721,1586.10674744756,-2.27127464288806,1920.43652906805,-3.71358792976003,1748.41001950941,-3.72163966297826,2201.86815899926,-3.7397889831579,2311.00215063393,-3.8727684089603,1911.74171092188,-3.71094592681887,1575.26159793191,-3.17678849740858,1583.30196740041,-3.49336500274535,1704.65545077384,-3.76715320242971
1602.93542773047,-0.120879223179284,1602.93542773047,-0.705470329404764,1708.11467949866,-3.53214786210256,1604.61829575876,-1.41118539004217,1604.61829575876,-2.23872651577735,1939.13506271573,-3.65359972800017,1764.91147545349,-3.66204419929622,2221.48292079567,-3.6798024687427,2328.25154792392,-3.84933743704153,1927.24813775399,-3.65172274154575,1591.63617096909,-3.12574169732531,1602.93542773047,-3.42962710793044,1727.46766182401,-3.70916633543647
1621.44697604167,-0.120913314428476,1621.44697604167,-0.706921038843516,1725.78479379572,-3.44803328328959,1623.12984406996,-1.40909455400702,1623.12984406996,-2.20735890382461,1955.37607479828,-3.60205798988209,1781.31943872932,-3.60113032150975,2239.05954242449,-3.62720681662769,2345.08022820683,-3.82705669260067,1944.55763747356,-3.5844315260688,1607.98403181534,-3.07217641571131,1621.63396137815,-3.37194746914617,1750.27987287418,-3.65354049875915
1639.95852435287,-0.120947405677668,1639.95852435287,-0.707899542219082,1744.29634210692,-3.36283418013354,1641.64139238116,-1.40723982100347,1641.64139238116,-2.17669960096665,1974.68097517997,-3.54172874280727,1804.45887411832,-3.51895005481881,2259.06697342751,-3.56877209110942,2363.59177651803,-3.80414943928003,1963.63014179419,-3.51195678601677,1628.68330856332,-3.00686121678124,1637.07360773295,-3.32506260550644,1769.87593613694,-3.60653961664599
1658.47007266408,-0.12098149692686,1658.47007266408,-0.707933633468274,1762.80789041812,-3.27905169516704,1660.15294069237,-1.40444067587354,1660.15294069237,-2.14698471023506,1994.29573697638,-3.48257908247072,1824.88702212841,-3.44908150311323,2277.76550707519,-3.51689993106059,2386.73121190703,-3.77421680595546,1981.01977808653,-3.4516776033926,1646.68999646604,-2.95086122629617,1656.78720463578,-3.26563467551607,1785.43311613181,-3.57078554094805
1676.98162097528,-0.121015588176052,1676.98162097528,-0.707967724717466,1782.16087274347,-3.1931851830237,1678.66448900357,-1.40258594286998,1678.66448900357,-2.11679761344029,2015.0511093253,-3.41711183156044,1842.65062909371,-3.38966872031701,2297.7729380782,-3.46062948333192,2399.94172592912,-3.75989197296547,1999.25084839302,-3.3846474236671,1662.84552953763,-2.90537621674366,1675.71946995406,-3.21225123066835,1806.56245915369,-3.52234463069478
1695.49316928648,-0.122702400646398,1695.49316928648,-0.708001815966658,1802.35528908296,-3.10556912299828,1697.17603731477,-1.39978679774005,1697.17603731477,-2.08849934089826,2032.48749195176,-3.36776233786279,1859.15208503778,-3.3359528779634,2316.47147172588,-3.41113802885166,2422.49215750822,-3.73216778579,2018.60383071836,-3.31682705323855,1682.53508546864,-2.84879497045987,1692.36784294822,-3.16488420706306,1827.69180217557,-3.4750580019293
