BSE,
X,Y
1506.5542395883374,-6.570556661851474
1517.0765731036508,-6.48768472906404
1528.1531834098478,-6.4042773414424925
1539.2297482035217,-6.320499254320404
1550.3065405598109,-6.238574664701018
1561.3834239411462,-6.157391474082711
1572.4603528350049,-6.0765789829649455
1583.5377823666174,-5.999844186353122
1594.614847798045,-5.920143793736976
1606.2464378107597,-5.841926199122992
1618.4317952418774,-5.759024310820363
1630.6174422981417,-5.678481419339354
1642.8030066043643,-5.597264528766453
1654.9885295355657,-5.515710638647606
1667.1747558421241,-5.439885740809836
1679.3607338985564,-5.362038845696391
1691.5469602051146,-5.286213947858621
1703.733434761799,-5.212411047296524
1715.919992068525,-5.13928214582632
1728.1065907502723,-5.066490243902059
1740.2933135570825,-4.994709340615637
1752.4803673640604,-4.925624433696779
1764.6673797960175,-4.856202527231976
1776.8545991030794,-4.788465618496901
1789.0418184101413,-4.7207287097618265
1801.2292032172872,-4.654339799210534
1813.4167121494963,-4.588961887297079
1825.6042210817052,-4.523583975383623
1837.791895513998,-4.45955406165395
1849.9796526963328,-4.396198147016169
1862.1674926287096,-4.333516231470279
1874.3554566861494,-4.271845314562226
1886.54346211861,-4.2105113972001185
1898.3160002778218,-4.15153647665963
1910.9198591503941,-4.090988891571396
1917.5680251060617,-4.058861601524577
1984.6066062369043,-3.758595006087006
2000.9507221838346,-3.6853818547303145
2012.8626920950242,-3.633298574904415
2025.0517650030265,-3.5806592458277047
2037.2407634359909,-3.5274133175682927
2049.429885994018,-3.4751783879467175
2061.6192154271507,-3.4246284560548705
2073.8085448602833,-3.3740785241630236
2085.9979984184783,-3.3245395909090134
2098.1875347267155,-3.275674656746895
2110.377029659932,-3.226472723038831
2122.5667314682532,-3.1789557870604943
2134.7565987766584,-3.1327868492659405
2146.94630058498,-3.085269913287605
2159.136126518364,-3.0387639759471057
2171.3259938267693,-2.992595038152552
2183.5157783851323,-2.945752101266107
2195.7057284435796,-2.9002571625634452
2207.89580262709,-2.8557732224986196
2220.30736143545,-2.8092335852035255
2233.2259805831627,-2.7645907739241835
2246.6831125730882,-2.7200185720735153
2259.981368422899,-2.671434470866351
2272.171649481514,-2.628635528531254
2284.3617236650243,-2.5841515884664283
2296.5523770988284,-2.5443856420448423
2308.742823657527,-2.5029346978935276
2320.933352966268,-2.4621577528341043
2333.123840899988,-2.4210438082287355
2345.3145357088133,-2.381614861353095
2357.505023642533,-2.340500916747726
2369.695635701316,-2.3003979707801943
2381.886413260183,-2.261643022996445
2394.077066693987,-2.221877076574859
2406.267885627875,-2.1834591283370552
2418.458663186742,-2.1447041805533056
2430.6494821206297,-2.106286232315502
2442.840218304476,-2.067194284985807
2455.0311613634267,-2.02978733538584
2467.2221044223775,-1.9923803857858735
2479.4130474813282,-1.9549734361859068
2491.6040319153003,-1.9179034861318858
2503.7950163492724,-1.8808335360778645
2515.986083533286,-1.8444375851157349
2528.1771507173,-1.808041634153605
2540.368135151272,-1.770971684099584
2552.5593264603485,-1.7355867317752909
2564.7504763944044,-1.6998647799050526
2576.94162632846,-1.664142828034814
2589.132859012558,-1.629094875256467
2601.323967571593,-1.5930359238402827
2613.51515888067,-1.5576509715159896
2625.7064329397886,-1.5229400182835884
2637.897706998907,-1.4882290650511867
2650.088981058026,-1.453518111818785
2662.280255117145,-1.4188071585863835
2674.4716119263057,-1.3847702044458732
2686.6630101104874,-1.3510702498513085
2698.8542427945854,-1.3160222970729611
2711.045723728809,-1.282996341570288
2723.237121912991,-1.2492963869757232
2735.4286855972564,-1.2169444305649413
2747.619959656375,-1.1822334773325398
2759.8115233406406,-1.1498815209217577
2772.003004274865,-1.1168555654190844
2784.1944438340674,-1.0834926103704654
2796.386090268375,-1.0518146530515744
2808.577488452557,-1.0181146984570097
2820.7692176369064,-0.9871107402300106
2832.960739946151,-0.9544217842732827
2845.152345005438,-0.9224068274084464
2857.3439086897033,-0.8900548709976643
2869.5355137489905,-0.8580399141328279
2881.727160183298,-0.8263619568139372
2893.918723867564,-0.7940100004031552
2906.1106599270183,-0.7646910399058839
2918.302306361326,-0.733013082586993
2930.494076920697,-0.7023461239059392
2942.6858888550883,-0.6720161647708311
2954.8775766644167,-0.6406752069978859
2967.06947134885,-0.6110192469546691
2979.261117783158,-0.5793412896357784
2991.452888342529,-0.5486743309547246
