Na,,O2,,O,,SiO,,Mg,,Fe,,SiO2,,NaO,,MgO,,FeO,,K,,AlO,,Na2,,TiO2,,Al,,Si,,Ca,,TiO,,CaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1814.73147026202,-0.51761500279359,1812.09008905045,-0.556147112885333,1812.09008905045,-2.00902451071686,1817.35041255554,-4.11624962887088,1805.48663602152,-4.29751491939075,1817.2434634266,-3.54420481970451,1806.8073266273,-4.9273969639517,1812.09008905045,-3.64572175842328,1966.61088992749,-4.9800837267302,1810.87099002972,-3.55720991976759,1812.09008905045,-4.53321133306882,2712.80108219696,-4.97482378789229,2659.97345796549,-4.98884102447833,2792.04251854416,-4.99166480620119,3241.07732451163,-4.98133476926565,3518.42235172683,-4.98831558661344,3399.56019720603,-4.99559665416974,3748.22251713372,-4.9964306825267,3549.80817553494,-4.98734830424555
1843.78666358933,-0.502102075354057,1841.14528237776,-0.562902742576743,1841.14528237776,-1.96727305116724,1802.35031638874,-4.18747869718833,1820.01423268517,-4.23256079095039,1803.28548501187,-3.59476262581277,1823.97630450253,-4.85852409370268,1839.82459177197,-3.58412042397791,1982.45917719693,-4.90852409370268,1835.86251995461,-3.49384519462011,1841.14528237776,-4.49693109954088,2735.25282249534,-4.91643693773938,2689.0286512928,-4.94955828886532,2821.09771187147,-4.95461250070852,3270.13251783894,-4.93579682097541,3547.47754505414,-4.93570299278525,3428.61539053334,-4.98408706284364,3777.27771046102,-4.96695701110149,3575.65227797759,-4.9673279127274
1872.84185691664,-0.488841024478328,1870.20047570506,-0.566906078690171,1870.20047570506,-1.91628055742245,1833.52887247642,-4.02746795565113,1833.22113874304,-4.17421216709718,1837.1832105604,-3.48971675425314,1839.82459177197,-4.79292776342745,1867.55909449349,-3.52412042397791,1996.98677386058,-4.84301950654672,1858.31426025298,-3.44134452658769,1870.20047570506,-4.46090107452003,2756.38387218792,-4.85003785517057,2718.08384462011,-4.9127776383232,2850.15290519878,-4.91152659578775,3299.18771116625,-4.89150991522062,3576.53273838145,-4.89050908119226,3457.67058386065,-4.97032559495373,3806.33290378833,-4.94668089103379,3605.58793170876,-4.94436616736786
1901.89705024394,-0.476580807630955,1899.25566903237,-0.570659206296509,1899.25566903237,-1.86949156659676,1849.06942601248,-3.94962501113387,1847.74873540669,-4.110358956088,1856.8397027805,-3.42901339033877,1855.67287904141,-4.72687271755589,1896.6142878208,-3.46356996526231,2010.19367991845,-4.78467088269351,1883.40738176293,-3.38133196651779,1899.25566903237,-4.42562167502045,2777.51492188051,-4.79533602030819,2747.13903794742,-4.87949990688033,2879.20809852608,-4.87624719628817,3328.24290449355,-4.84947488602962,3605.58793170876,-4.84622217543746,3486.72577718795,-4.95956662914889,3835.38809711564,-4.92270257577107,3634.64312503606,-4.9175315999579
1930.95224357125,-0.462819339741047,1928.31086235968,-0.574662542409937,1928.31086235968,-1.82595528636323,1862.27633207034,-3.88467088269351,1863.59702267613,-4.03879932306048,1877.97075247309,-3.36777710924042,1870.20047570506,-4.67017546984947,1925.6694811481,-3.40301950654672,2023.40058597632,-4.72687271755589,1909.26511362359,-3.32324162146705,1928.31086235968,-4.39234394357758,2801.28735278467,-4.73595528636323,2776.19423127472,-4.84797363498709,2908.26329185339,-4.84121800529568,3357.29809782086,-4.80919131638825,3634.64312503606,-4.8034365207252,3515.78097051526,-4.94805703782279,3864.44329044294,-4.90210207535406,3663.69831836337,-4.90176846401127
1960.00743689856,-0.453061207964566,1957.36605568698,-0.578665878523365,1957.36605568698,-1.78266921463679,1875.48323812821,-3.81971675425314,1879.44530994557,-3.97274427718892,1899.25566903237,-3.30511649212994,1884.72807236872,-4.61081767168433,1954.72467447541,-3.34622217543746,2037.92818263997,-4.66311124966598,1937.77581170115,-3.26899809981889,1957.36605568698,-4.35856579512053,2827.7011649004,-4.66879932306048,2805.24942460203,-4.81894944816474,2937.3184851807,-4.80994194190952,3386.35329114817,-4.77065920629651,3663.69831836337,-4.7616517000413,3544.83616384257,-4.9336644614849,3893.49848377025,-4.88091775508717,3692.75351169068,-4.88193154489583
1999.62815507216,-0.435546612468319,1986.42124901429,-0.58367004866515,1986.42124901429,-1.74088439395289,1888.69014418608,-3.75751491939075,1895.29359721501,-3.90668923131736,1919.06602811917,-3.24545069920727,1900.57635963816,-4.54889106617975,1983.77986780272,-3.29092609537074,2053.77646990941,-4.59568005700543,1960.06193141384,-3.22441769840563,1986.42124901429,-4.32779014874855,2852.79428641035,-4.60821828330513,2834.30461792934,-4.79167672089201,2966.373678508,-4.77916629553755,3415.40848447547,-4.73312793023313,3692.46002488939,-4.72136813039993,3573.89135716987,-4.93204033874739,3922.55367709756,-4.861735102877,3721.80870501798,-4.85697711569628
2028.68334839946,-0.425788480691839,2015.4764423416,-0.588924427314024,2015.4764423416,-1.70085103281861,1901.89705024394,-3.69421216709718,1911.14188448445,-3.84109290104213,1940.19707781176,-3.18662042397791,1916.4246469076,-4.48834060746415,2012.83506113002,-3.23788189186782,2068.30406657306,-4.53586354324396,1981.13848659114,-3.18433727135072,2015.4764423416,-4.29676429386949,2877.8874079203,-4.54934978177608,2863.35981125664,-4.76790691271853,2995.42887183531,-4.7498919002081,3444.46367780278,-4.69759832222645,3712.71061417812,-4.68222439951308,3602.94655049718,-4.9197682072092,3951.60887042486,-4.83913293440327,3750.86389834529,-4.83679295853341
2057.73854172677,-0.415029514887002,2044.5316356689,-0.593428180441631,2044.5316356689,-1.66231892272687,1915.10395630181,-3.63201033223479,1926.99017175389,-3.77824886434488,1962.64881811013,-3.12564947596568,1932.27293417704,-4.42870757994121,2041.89025445733,-3.18608873090035,2082.83166323672,-4.4754965707669,2009.01617098028,-3.13008417208515,2044.5316356689,-4.26698948152587,2904.30122003603,-4.48907455241828,2892.41500458395,-4.74513793857341,3024.48406516262,-4.72236896442829,3473.2253843288,-4.66265253406966,3740.298373499,-4.65631391855673,3632.00174382449,-4.91345781678908,3980.66406375217,-4.82170174174272,3779.9190916726,-4.82045069920727
